n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,optimal_perc_score,optimal_score,n_claims,n_claims_10k,TwoEstimates_score_perc_max,TwoEstimates_score_perc_min,TwoEstimates_score_perc_diff,_agg_total
100,500,5,F_TruncPareto,F_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,500,43878,4.252838208,0.0,0,1.0,500,44243,3.3970384169999996,0.0,0,1.0,500,45389,7.662674459,0.0,0,5.104183694666666,0.0,0.0,1.0,500.0,44503.333333333336,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,500,44433,4.160099208,0.0,0,1.0,500,43216,3.0237740000000013,0.0,0,1.0,500,44075,4.039781292000001,0.0,0,3.741218166666667,0.0,0.0,1.0,500.0,43908.0,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncPareto,Uniform,F_TruncPareto,1.0,500,43003,2.511003958,0.0,0,1.0,500,45191,28.890918041,1.0,500,1.0,500,43811,3.3643065839999977,0.0,0,11.588742861,0.3333333333333333,166.66666666666666,1.0,500.0,44001.666666666664,40000.0,1.0,0.0,1.0,1
100,500,5,F_TruncPareto,F_TruncPareto,TruncExponential,F_TruncPareto,1.0,500,44638,6.563568291999996,0.0,0,1.0,500,43103,5.715791500000002,0.0,0,1.0,500,43921,6.567602832999999,0.0,0,6.282320874999999,0.0,0.0,1.0,500.0,43887.333333333336,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncPareto,TruncPareto,F_TruncPareto,1.0,500,42475,3.5588079159999992,0.0,0,1.0,500,44217,4.882849375000006,0.0,0,1.0,500,43933,6.341784749999995,0.0,0,4.927814013666667,0.0,0.0,1.0,500.0,43541.666666666664,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncExponential,F_TruncPareto,F_TruncPareto,1.0,500,42834,4.423723084000002,0.0,0,1.0,500,44428,5.487134749999996,0.0,0,1.0,500,43043,4.376497458000003,0.0,0,4.762451764000001,0.0,0.0,1.0,500.0,43435.0,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncExponential,F_TruncExponential,F_TruncPareto,1.0,500,43843,3.075980166000001,0.0,0,1.0,500,43845,4.061232000000004,0.0,0,1.0,500,43675,3.0958273329999955,0.0,0,3.4110131663333334,0.0,0.0,1.0,500.0,43787.666666666664,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncExponential,Uniform,F_TruncPareto,1.0,500,43843,4.2780728750000065,0.0,0,1.0,500,43501,4.146832500000002,0.0,0,1.0,500,44639,5.121602250000009,0.0,0,4.515502541666673,0.0,0.0,1.0,500.0,43994.333333333336,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncExponential,TruncExponential,F_TruncPareto,1.0,500,43768,4.382929042000001,0.0,0,1.0,500,43509,4.2186067089999995,0.0,0,1.0,500,43621,4.3013179579999985,0.0,0,4.300951236333333,0.0,0.0,1.0,500.0,43632.666666666664,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,F_TruncExponential,TruncPareto,F_TruncPareto,1.0,500,42505,5.45796320800001,0.0,0,1.0,500,44082,5.469770917000005,0.0,0,1.0,500,43919,1.4500153749999924,0.0,0,4.125916500000002,0.0,0.0,1.0,500.0,43502.0,40000.0,0.0,0.0,0.0,1
100,500,5,F_TruncPareto,Uniform,F_TruncPareto,F_TruncPareto,1.0,500,43488,4.478205250000002,0.016,8,1.0,500,43476,4.236533500000007,0.042,21,1.0,500,44532,4.324320999999998,0.01,5,4.346353250000003,0.0226666666666666,11.333333333333334,1.0,500.0,43832.0,40000.0,0.042,0.01,0.032,1
