n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,200,34670,0,2.525585834,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,200,35226,1,2.3155970420000003,0.005,1
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,200,34860,2,2.346806042,0.01,2
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,200,34831,3,2.2269077500000005,0.005,1
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,200,34929,4,2.176825583000001,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,200,35015,5,2.39391425,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,200,35184,6,2.330234917000002,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,200,35183,7,2.344012499999998,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,200,34511,8,2.0562784580000013,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,200,35422,9,2.203790209000001,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,200,34404,10,2.0527327080000006,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncExponential,1.0,200,34935,11,1.964607375,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,Uniform,Uniform,1.0,200,35401,12,1.9024526249999951,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,Uniform,TruncExponential,1.0,200,35128,13,1.885826209000001,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,Uniform,TruncPareto,1.0,200,35240,14,2.4915192919999996,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncPareto,1.0,200,35119,15,1.604294958000004,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,F_TruncExponential,1.0,200,34901,16,1.632440041999999,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,Uniform,1.0,200,34391,17,2.0370924169999967,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncExponential,1.0,200,34714,18,1.965168792,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncExponential,TruncPareto,1.0,200,35531,19,1.921634417,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncPareto,1.0,200,35774,20,2.259695999999998,0.005,1
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,F_TruncExponential,1.0,200,35136,21,2.703304334000002,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,Uniform,1.0,200,35466,22,2.298511832999999,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncExponential,1.0,200,35213,23,2.316413459000003,0.0,0
200,200,20,F_TruncPareto,F_S_TruncPareto,TruncPareto,TruncPareto,1.0,200,35611,24,2.194978875000004,0.0,0
