n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score,optimal_score,n_claims,iteration_index,Majority_time,Majority_score_perc,Majority_score,TruthFinder_time,TruthFinder_score_perc,TruthFinder_score,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,ThreeEstimates_time,ThreeEstimates_score_perc,ThreeEstimates_score
200,200,20,TruncPareto,TruncPareto,TruncPareto,TruncPareto,1.0,200,16382,-1,0.026879458000000023,0.595,119,0.3009960410000001,0.59,118,2.076136708,0.275,55,2.40465775,0.1,20
200,200,20,TruncPareto,TruncPareto,TruncExponential,TruncPareto,1.0,200,15678,-1,0.025318999999999647,0.71,142,0.32653991699999985,0.71,142,2.3117625409999993,0.195,39,2.688360834000001,0.065,13
200,200,20,TruncPareto,TruncPareto,H_TruncExponential,TruncPareto,1.0,200,14616,-1,0.02609216599999975,0.725,145,0.34860095800000046,0.725,145,2.3444857920000004,0.17,34,2.7494732079999995,0.115,23
200,200,20,TruncPareto,TruncPareto,Uniform,TruncPareto,1.0,200,14740,-1,0.025888334000001123,0.775,155,0.3608499159999994,0.775,155,2.5607614159999983,0.12,24,3.0207370000000004,0.05,10
200,200,20,TruncPareto,TruncPareto,F_TruncPareto,TruncPareto,1.0,200,15203,-1,0.025575040999999743,0.88,176,0.4027049579999975,0.875,175,2.9185175,0.06,12,3.6152609170000005,0.1,20
200,200,20,TruncPareto,TruncPareto,F_TruncExponential,TruncPareto,1.0,200,15097,-1,0.027082041999999973,0.86,172,0.45272454199999856,0.86,172,2.89001,0.085,17,3.425253374999997,0.01,2
200,200,20,TruncPareto,TruncPareto,F_H_TruncExponential,TruncPareto,1.0,200,15179,-1,0.025435334000000864,0.855,171,0.37864287499999705,0.865,173,2.795998666999999,0.09,18,3.3538061249999984,0.145,29
200,200,20,TruncPareto,TruncExponential,TruncPareto,TruncPareto,1.0,200,15123,-1,0.0254168329999942,0.71,142,0.3069622080000016,0.71,142,2.123782333000001,0.185,37,2.4756981669999973,0.265,53
200,200,20,TruncPareto,TruncExponential,TruncExponential,TruncPareto,1.0,200,14375,-1,0.025153375000002143,0.745,149,0.30427120799999585,0.75,150,2.141274749999994,0.155,31,2.5027014589999936,0.305,61
200,200,20,TruncPareto,TruncExponential,H_TruncExponential,TruncPareto,1.0,200,14820,-1,0.02530129200000175,0.83,166,0.33172833300000093,0.835,167,2.3348049169999996,0.095,19,2.7506389999999996,0.32,64
