n_sources,n_dataitems,n_distinct,coverage_dist,truth_dist,distinct_dist,spread_dist,optimal_perc_score_1,optimal_score_1,n_claims_1,TwoEstimates_time_1,TwoEstimates_score_perc_1,TwoEstimates_score_1,optimal_perc_score_2,optimal_score_2,n_claims_2,TwoEstimates_time_2,TwoEstimates_score_perc_2,TwoEstimates_score_2,optimal_perc_score_3,optimal_score_3,n_claims_3,TwoEstimates_time_3,TwoEstimates_score_perc_3,TwoEstimates_score_3,TwoEstimates_time,TwoEstimates_score_perc,TwoEstimates_score,optimal_perc_score,optimal_score,n_claims
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncPareto,1.0,200,35248,2.5704752089999996,0.0,0,1.0,200,35109,2.357053,0.0,0,1.0,200,34670,2.525585834,0.0,0,2.484371347666667,0.0,0.0,1.0,200.0,35009.0
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,F_TruncExponential,1.0,200,34875,2.3782656249999996,0.0,0,1.0,200,35293,2.4131383750000004,0.0,0,1.0,200,35226,2.3155970420000003,0.005,1,2.3690003473333334,0.0016666666666666668,0.3333333333333333,1.0,200.0,35131.333333333336
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,Uniform,1.0,200,35553,2.324033375,0.005,1,1.0,200,35509,2.168587958,0.0,0,1.0,200,34860,2.346806042,0.01,2,2.279809125,0.005,1.0,1.0,200.0,35307.333333333336
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncExponential,1.0,200,35082,2.4151675420000007,0.0,0,1.0,200,34891,2.2225509579999994,0.0,0,1.0,200,34831,2.2269077500000005,0.005,1,2.2882087500000003,0.0016666666666666668,0.3333333333333333,1.0,200.0,34934.666666666664
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncPareto,TruncPareto,1.0,200,35361,2.163955458,0.0,0,1.0,200,35182,2.307524083999999,0.0,0,1.0,200,34929,2.176825583000001,0.0,0,2.2161017083333334,0.0,0.0,1.0,200.0,35157.333333333336
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncPareto,1.0,200,34898,2.277417208000001,0.005,1,1.0,200,35046,2.4271748749999986,0.0,0,1.0,200,35015,2.39391425,0.0,0,2.3661687776666667,0.0016666666666666668,0.3333333333333333,1.0,200.0,34986.333333333336
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,F_TruncExponential,1.0,200,34597,2.334317249999998,0.0,0,1.0,200,34738,2.4670955000000028,0.0,0,1.0,200,35184,2.330234917000002,0.0,0,2.377215889000001,0.0,0.0,1.0,200.0,34839.666666666664
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,Uniform,1.0,200,34731,2.2393751249999987,0.005,1,1.0,200,35387,2.202204500000001,0.0,0,1.0,200,35183,2.344012499999998,0.0,0,2.2618640416666658,0.0016666666666666668,0.3333333333333333,1.0,200.0,35100.333333333336
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncExponential,1.0,200,35169,2.152410459000002,0.0,0,1.0,200,35151,2.2282758330000014,0.0,0,1.0,200,34511,2.0562784580000013,0.0,0,2.1456549166666683,0.0,0.0,1.0,200.0,34943.666666666664
200,200,20,F_TruncPareto,F_S_TruncPareto,F_TruncExponential,TruncPareto,1.0,200,35593,2.0409953750000014,0.0,0,1.0,200,35241,2.1443450829999975,0.0,0,1.0,200,35422,2.203790209000001,0.0,0,2.1297102223333333,0.0,0.0,1.0,200.0,35418.666666666664
200,200,20,F_TruncPareto,F_S_TruncPareto,Uniform,F_TruncPareto,1.0,200,35602,2.1681904160000016,0.0,0,1.0,200,34502,2.1373464999999996,0.005,1,1.0,200,34404,2.0527327080000006,0.0,0,2.1194232080000006,0.0016666666666666668,0.3333333333333333,1.0,200.0,34836.0
